[DEBUG] 11:47:12:110 GAMECARD_DBG/(557:557): (FileSystem TallGrass| Tam.Bloque:64 Bytes| Cant.Bloques:4096| Tamaño FS:256 Kbytes| Magic_Number:555)

[DEBUG] 11:47:12:115 GAMECARD_DBG/(557:557): (TallGrass Iniciado  | Bloques Libres:4097| Espacio Disponible:256 Kb.)

[DEBUG] 11:47:13:118 GAMECARD_DBG/(557:561): (Intervalo para reconexión con Broker: 600 segundos)

[INFO] 11:48:59:785 GAMECARD_DBG/(557:592): SAVE BLOCK | FILE 0.bin
[INFO] 11:49:24:270 GAMECARD_DBG/(557:601): SAVE BLOCK | FILE 1.bin
[INFO] 11:49:24:273 GAMECARD_DBG/(557:605): SAVE BLOCK | FILE 2.bin
[INFO] 11:49:24:275 GAMECARD_DBG/(557:609): SAVE BLOCK | FILE 3.bin
[INFO] 11:49:24:280 GAMECARD_DBG/(557:613): SAVE BLOCK | FILE 2.bin
[INFO] 11:49:24:283 GAMECARD_DBG/(557:617): SAVE BLOCK | FILE 3.bin
[INFO] 11:49:24:286 GAMECARD_DBG/(557:621): SAVE BLOCK | FILE 2.bin
[INFO] 11:49:24:288 GAMECARD_DBG/(557:625): SAVE BLOCK | FILE 3.bin
[INFO] 11:49:24:299 GAMECARD_DBG/(557:628): SAVE BLOCK | FILE 2.bin
[INFO] 11:49:24:299 GAMECARD_DBG/(557:628): SAVE BLOCK | FILE 3.bin
[INFO] 11:49:35:229 GAMECARD_DBG/(557:633): SAVE BLOCK | FILE 4.bin
[DEBUG] 19:04:45:208 GAMECARD_DBG/(8069:8069): (FileSystem TallGrass| Tam.Bloque:64 Bytes| Cant.Bloques:4096| Tamaño FS:256 Kbytes| Magic_Number:555)

[DEBUG] 19:04:45:210 GAMECARD_DBG/(8069:8069): (TallGrass Iniciado  | Bloques Libres:4095| Espacio Disponible:255 Kb.)

[DEBUG] 19:04:46:212 GAMECARD_DBG/(8069:8076): (Intervalo para reconexión con Broker: 60 segundos)

[INFO] 19:04:53:425 GAMECARD_DBG/(8069:8091): SAVE BLOCK | FILE 2.bin
[INFO] 19:04:57:280 GAMECARD_DBG/(8069:8108): SAVE BLOCK | FILE 1.bin
[INFO] 19:04:57:287 GAMECARD_DBG/(8069:8112): SAVE BLOCK | FILE 2.bin
[INFO] 19:04:57:293 GAMECARD_DBG/(8069:8116): SAVE BLOCK | FILE 3.bin
[INFO] 19:04:57:298 GAMECARD_DBG/(8069:8122): SAVE BLOCK | FILE 2.bin
[INFO] 19:04:57:298 GAMECARD_DBG/(8069:8122): SAVE BLOCK | FILE 3.bin
[INFO] 19:04:57:312 GAMECARD_DBG/(8069:8127): SAVE BLOCK | FILE 4.bin
[INFO] 19:04:57:313 GAMECARD_DBG/(8069:8127): SAVE BLOCK | FILE 2.bin
[INFO] 19:04:57:320 GAMECARD_DBG/(8069:8132): SAVE BLOCK | FILE 3.bin
[INFO] 19:04:57:321 GAMECARD_DBG/(8069:8132): SAVE BLOCK | FILE 2.bin
[INFO] 19:04:57:326 GAMECARD_DBG/(8069:8138): SAVE BLOCK | FILE 4.bin
[INFO] 19:04:57:327 GAMECARD_DBG/(8069:8138): SAVE BLOCK | FILE 2.bin
[INFO] 19:04:57:330 GAMECARD_DBG/(8069:8141): SAVE BLOCK | FILE 3.bin
[INFO] 19:04:57:330 GAMECARD_DBG/(8069:8141): SAVE BLOCK | FILE 2.bin
[INFO] 19:05:01:642 GAMECARD_DBG/(8069:8153): SAVE BLOCK | FILE 4.bin
[INFO] 19:05:44:969 GAMECARD_DBG/(8069:8243): SAVE BLOCK | FILE 2.bin
[INFO] 19:05:44:977 GAMECARD_DBG/(8069:8248): SAVE BLOCK | FILE 3.bin
[INFO] 19:05:44:983 GAMECARD_DBG/(8069:8253): SAVE BLOCK | FILE 5.bin
[INFO] 19:05:44:996 GAMECARD_DBG/(8069:8258): SAVE BLOCK | FILE 6.bin
[INFO] 19:05:44:996 GAMECARD_DBG/(8069:8258): SAVE BLOCK | FILE 4.bin
[INFO] 19:05:45:3 GAMECARD_DBG/(8069:8263): SAVE BLOCK | FILE 7.bin
[INFO] 19:05:45:10 GAMECARD_DBG/(8069:8268): SAVE BLOCK | FILE 8.bin
[INFO] 19:05:45:20 GAMECARD_DBG/(8069:8273): SAVE BLOCK | FILE 9.bin
[INFO] 19:05:45:36 GAMECARD_DBG/(8069:8278): SAVE BLOCK | FILE 1.bin
[INFO] 19:05:45:43 GAMECARD_DBG/(8069:8283): SAVE BLOCK | FILE 10.bin
[INFO] 19:05:45:52 GAMECARD_DBG/(8069:8288): SAVE BLOCK | FILE 11.bin
[INFO] 19:05:45:65 GAMECARD_DBG/(8069:8292): SAVE BLOCK | FILE 12.bin
[INFO] 19:05:45:74 GAMECARD_DBG/(8069:8298): SAVE BLOCK | FILE 2.bin
[INFO] 19:05:45:79 GAMECARD_DBG/(8069:8303): SAVE BLOCK | FILE 3.bin
[INFO] 19:05:45:95 GAMECARD_DBG/(8069:8308): SAVE BLOCK | FILE 5.bin
[INFO] 19:05:45:95 GAMECARD_DBG/(8069:8308): SAVE BLOCK | FILE 4.bin
[INFO] 19:05:45:101 GAMECARD_DBG/(8069:8312): SAVE BLOCK | FILE 6.bin
[INFO] 19:05:45:109 GAMECARD_DBG/(8069:8318): SAVE BLOCK | FILE 7.bin
[INFO] 19:05:45:125 GAMECARD_DBG/(8069:8323): SAVE BLOCK | FILE 8.bin
[INFO] 19:05:45:134 GAMECARD_DBG/(8069:8328): SAVE BLOCK | FILE 9.bin
[INFO] 19:05:45:139 GAMECARD_DBG/(8069:8332): SAVE BLOCK | FILE 1.bin
[INFO] 19:05:45:145 GAMECARD_DBG/(8069:8338): SAVE BLOCK | FILE 10.bin
[INFO] 19:05:47:47 GAMECARD_DBG/(8069:8384): SAVE BLOCK | FILE 11.bin
[INFO] 19:05:47:53 GAMECARD_DBG/(8069:8389): SAVE BLOCK | FILE 12.bin
[INFO] 19:05:47:63 GAMECARD_DBG/(8069:8394): SAVE BLOCK | FILE 2.bin
[INFO] 19:05:47:77 GAMECARD_DBG/(8069:8399): SAVE BLOCK | FILE 3.bin
[INFO] 19:05:47:78 GAMECARD_DBG/(8069:8399): SAVE BLOCK | FILE 4.bin
[INFO] 19:05:47:86 GAMECARD_DBG/(8069:8404): SAVE BLOCK | FILE 5.bin
[INFO] 19:05:47:93 GAMECARD_DBG/(8069:8409): SAVE BLOCK | FILE 6.bin
[INFO] 19:05:47:111 GAMECARD_DBG/(8069:8414): SAVE BLOCK | FILE 7.bin
[INFO] 19:05:47:119 GAMECARD_DBG/(8069:8419): SAVE BLOCK | FILE 8.bin
[INFO] 19:05:47:129 GAMECARD_DBG/(8069:8424): SAVE BLOCK | FILE 9.bin
[INFO] 19:05:47:146 GAMECARD_DBG/(8069:8429): SAVE BLOCK | FILE 1.bin
[INFO] 19:05:47:156 GAMECARD_DBG/(8069:8434): SAVE BLOCK | FILE 10.bin
[INFO] 19:05:47:173 GAMECARD_DBG/(8069:8438): SAVE BLOCK | FILE 11.bin
[INFO] 19:05:47:181 GAMECARD_DBG/(8069:8444): SAVE BLOCK | FILE 12.bin
[INFO] 19:05:47:199 GAMECARD_DBG/(8069:8448): SAVE BLOCK | FILE 2.bin
[INFO] 19:05:47:199 GAMECARD_DBG/(8069:8448): SAVE BLOCK | FILE 3.bin
[INFO] 19:05:47:208 GAMECARD_DBG/(8069:8453): SAVE BLOCK | FILE 4.bin
[INFO] 19:05:47:230 GAMECARD_DBG/(8069:8459): SAVE BLOCK | FILE 5.bin
[INFO] 19:05:47:235 GAMECARD_DBG/(8069:8463): SAVE BLOCK | FILE 6.bin
[INFO] 19:05:47:243 GAMECARD_DBG/(8069:8467): SAVE BLOCK | FILE 7.bin
[INFO] 19:05:47:259 GAMECARD_DBG/(8069:8474): SAVE BLOCK | FILE 8.bin
[INFO] 19:05:47:270 GAMECARD_DBG/(8069:8478): SAVE BLOCK | FILE 9.bin
[INFO] 19:05:48:475 GAMECARD_DBG/(8069:8526): SAVE BLOCK | FILE 1.bin
[INFO] 19:05:48:485 GAMECARD_DBG/(8069:8531): SAVE BLOCK | FILE 10.bin
[INFO] 19:05:48:500 GAMECARD_DBG/(8069:8536): SAVE BLOCK | FILE 11.bin
[INFO] 19:05:48:510 GAMECARD_DBG/(8069:8541): SAVE BLOCK | FILE 12.bin
[INFO] 19:05:48:510 GAMECARD_DBG/(8069:8541): SAVE BLOCK | FILE 2.bin
[INFO] 19:05:48:517 GAMECARD_DBG/(8069:8546): SAVE BLOCK | FILE 3.bin
[INFO] 19:05:48:526 GAMECARD_DBG/(8069:8551): SAVE BLOCK | FILE 4.bin
[INFO] 19:05:48:550 GAMECARD_DBG/(8069:8555): SAVE BLOCK | FILE 5.bin
[INFO] 19:05:48:554 GAMECARD_DBG/(8069:8561): SAVE BLOCK | FILE 6.bin
[INFO] 19:05:48:561 GAMECARD_DBG/(8069:8566): SAVE BLOCK | FILE 7.bin
[INFO] 19:05:48:577 GAMECARD_DBG/(8069:8569): SAVE BLOCK | FILE 8.bin
[INFO] 19:05:48:583 GAMECARD_DBG/(8069:8575): SAVE BLOCK | FILE 9.bin
[INFO] 19:05:48:597 GAMECARD_DBG/(8069:8580): SAVE BLOCK | FILE 1.bin
[INFO] 19:05:48:604 GAMECARD_DBG/(8069:8584): SAVE BLOCK | FILE 10.bin
[INFO] 19:05:48:623 GAMECARD_DBG/(8069:8590): SAVE BLOCK | FILE 11.bin
[INFO] 19:05:48:623 GAMECARD_DBG/(8069:8590): SAVE BLOCK | FILE 2.bin
[INFO] 19:05:48:631 GAMECARD_DBG/(8069:8594): SAVE BLOCK | FILE 12.bin
[INFO] 19:05:48:641 GAMECARD_DBG/(8069:8599): SAVE BLOCK | FILE 3.bin
